ID;Size;Model;y_obs;y_hat;Res
8;14.1595;1;26.55;32.4526831;-5.902683099
8;12.3325;1;23.8;28.27796862;-4.477968618
8;10.741;1;21.28;24.445347;-3.165346996
8;9.355;1;18.97;20.98052458;-2.01052458
8;8.148;1;16.86;17.89090608;-1.030906078
8;7.0965;1;14.93;15.1683332;-0.238333203
8;6.1805;1;13.17;12.79500047;0.374999525
8;5.383;1;11.57;10.74664947;0.823350525
8;4.6885;1;10.1;8.992640898;1.107359102
8;4.0835;1;8.75;7.500603761;1.249396239
8;3.5565;1;7.5;6.238988639;1.261011361
8;3.0975;1;6.33;5.177672802;1.152327198
8;2.698;1;5.24;4.289209467;0.950790533
8;2.35;1;4.22;3.54744527;0.67255473
8;2.0465;1;3.28;2.929264127;0.350735873
8;1.7825;1;2.43;2.416683475;0.013316525
8;1.5525;1;1.69;1.99185564;-0.30185564
8;1.352;1;1.08;1.640149764;-0.560149764
8;1.1775;1;0.61;1.349861792;-0.739861792
8;1.0255;1;0.27;1.110337237;-0.840337237
8;0.8935;1;0.1;0.913470468;-0.813470468
8;0.778;1;0.04;0.750571294;-0.710571294
8;0.6775;1;0.04;0.616631342;-0.576631342
8;0.5905;1;0.04;0.507103859;-0.467103859
8;0.5145;1;0.04;0.4167508;-0.3767508
8;0.448;1;0.04;0.342134319;-0.302134319
8;0.39;1;0.04;0.280741926;-0.240741926
8;0.3395;1;0.04;0.23033164;-0.19033164
8;0.2955;1;0.04;0.188920217;-0.148920217
8;0.2575;1;0.04;0.155198707;-0.115198707
8;0.2245;1;0.04;0.127580721;-0.087580721
8;0.1955;1;0.04;0.104696827;-0.064696827
8;0.17;1;0.04;0.085736542;-0.045736542
8;0.148;1;0.04;0.070325627;-0.030325627
8;0.129;1;0.04;0.057781123;-0.017781123
8;0.1125;1;0.04;0.047509936;-0.007509936
8;0.098;1;0.04;0.03900095;0.00099905
8;0.085;1;0.04;0.031817727;0.008182273
8;0.074;1;0.04;0.026096044;0.013903956
8;0.0645;1;0.04;0.021439406;0.018560594
8;0.056;1;0.04;0.017515222;0.022484778
8;0.049;1;0.04;0.014469404;0.025530596
